//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

Amadeo               | 2, 1.0159       | 0
Amado                | 8, 4.0635       | 0
Amador               | 3, 1.5238       | 0
Amadou               | 3, 1.5238       | 0
Amamentação          | 2, 1.0159       | 0
Amamos               | 1, 0.5079       | 0
Amancio              | 3, 1.5238       | 0
Amanda               | 32, 16.2539      | 0
Amanhã               | 78, 39.6188      | 0
Amanhãs              | 2, 1.0159       | 0
Amano                | 7, 3.5555       | 0
Amante               | 1, 0.5079       | 0
Amantes              | 1, 0.5079       | 0
Amapá                | 14, 7.1111       | 0
Amar                 | 6, 3.0476       | 0
Amaral               | 38, 19.3015      | 0
Amaralina            | 2, 1.0159       | 0
Amarante             | 1, 0.5079       | 0
Amarela              | 22, 11.1745      | 0
Amarelas             | 2, 1.0159       | 0
Amarelinho           | 2, 1.0159       | 0
Amarelo              | 19, 9.6507       | 0
Amarelos             | 3, 1.5238       | 0
Amargo               | 1, 0.5079       | 0
Amarildo             | 20, 10.1587      | 0
Amaro                | 18, 9.1428       | 0
Amas                 | 1, 0.5079       | 0
Amasco               | 2, 1.0159       | 0
Amateur              | 3, 1.5238       | 0
Amati                | 1, 0.5079       | 0
Amato                | 4, 2.0317       | 0
Amauri               | 3, 1.5238       | 0
Amaury               | 2, 1.0159       | 0
