//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

absolver-me-ia       | 2, 0.7744       | 0
absolveu             | 10, 3.8721       | 7, 11.5154
absolveu-o           | 0               | 1, 1.6451
absolveu-os          | 0               | 1, 1.6451
absolvida            | 1, 0.3872       | 0
absolvido            | 16, 6.1953       | 3, 4.9352
absolvidos           | 16, 6.1953       | 1, 1.6451
absolvição           | 27, 10.4545      | 8, 13.1605
absolvições          | 1, 0.3872       | 1, 1.6451
absolvê-la           | 1, 0.3872       | 0
absorve              | 4, 1.5488       | 0
absorvem             | 2, 0.7744       | 0
absorvendo           | 4, 1.5488       | 0
absorver             | 17, 6.5825       | 4, 6.5802
absorveram           | 1, 0.3872       | 0
absorverá            | 1, 0.3872       | 0
absorveu             | 7, 2.7104       | 0
absorvia             | 1, 0.3872       | 0
absorvida            | 3, 1.1616       | 0
absorvido            | 6, 2.3232       | 0
absorvidos           | 1, 0.3872       | 0
absorção             | 12, 4.6465       | 1, 1.6451
abstemo-nos          | 2, 0.7744       | 0
abstenha             | 0               | 1, 1.6451
abstenham            | 2, 0.7744       | 0
abstenção            | 33, 12.7778      | 30, 49.3518
abstenções           | 18, 6.9697       | 9, 14.8056
abster               | 1, 0.3872       | 0
abster-se            | 1, 0.3872       | 3, 4.9352
absterem-se          | 0               | 1, 1.6451
absteve              | 3, 1.1616       | 0
absteve-se           | 1, 0.3872       | 2, 3.2901
abstido              | 1, 0.3872       | 0
abstinência          | 2, 0.7744       | 10, 16.4506
abstiveram           | 4, 1.5488       | 0
abstiveram-se        | 1, 0.3872       | 0
abstracção           | 2, 0.7744       | 0
abstracções          | 2, 0.7744       | 0
abstraindo-se        | 1, 0.3872       | 0
abstrata             | 0               | 1, 1.6451
abstém-se            | 3, 1.1616       | 0
absurda              | 6, 2.3232       | 0
absurdamente         | 3, 1.1616       | 0
absurdas             | 2, 0.7744       | 3, 4.9352
absurdidade          | 0               | 1, 1.6451
absurdo              | 25, 9.6801       | 1, 1.6451
absurdos             | 3, 1.1616       | 0
abu                  | 8, 3.0976       | 0
abuloso              | 0               | 1, 1.6451
abunda               | 9, 3.4848       | 0
abundam              | 7, 2.7104       | 0
abundante            | 5, 1.9360       | 4, 6.5802
abundantemente       | 0               | 1, 1.6451
abundantes           | 12, 4.6465       | 0
abundância           | 23, 8.9057       | 4, 6.5802
aburguesada          | 2, 0.7744       | 0
abusa                | 2, 0.7744       | 0
abusado              | 0               | 2, 3.2901
abusador             | 2, 0.7744       | 0
abusadores           | 0               | 2, 3.2901
abusados             | 0               | 1, 1.6451
abusam               | 2, 0.7744       | 0
abusar               | 10, 3.8721       | 1, 1.6451
abusaram             | 5, 1.9360       | 0
abusarás             | 2, 0.7744       | 0
abusarão             | 2, 0.7744       | 0
abuse                | 1, 0.3872       | 0
abusemos             | 1, 0.3872       | 0
abusiva              | 3, 1.1616       | 1, 1.6451
abusivamente         | 9, 3.4848       | 1, 1.6451
abusivas             | 9, 3.4848       | 0
abusivo              | 6, 2.3232       | 1, 1.6451
abusivos             | 1, 0.3872       | 0
abuso                | 70, 27.1044      | 51, 83.8981
abusos               | 115, 44.5286      | 31, 50.9969
abusou               | 2, 0.7744       | 5, 8.2253
abusá-la             | 1, 0.3872       | 0
abutre               | 1, 0.3872       | 0
abutres              | 5, 1.9360       | 0
abílio               | 40, 15.4882      | 0
abóbada              | 1, 0.3872       | 1, 1.6451
abóbora              | 4, 1.5488       | 1, 1.6451
acaba                | 140, 54.2088      | 31, 50.9969
acabada              | 4, 1.5488       | 0
acabadas             | 2, 0.7744       | 0
acabadinho           | 1, 0.3872       | 0
acabadinhos          | 1, 0.3872       | 0
acabado              | 22, 8.5185       | 10, 16.4506
acabados             | 7, 2.7104       | 2, 3.2901
acabam               | 80, 30.9764      | 6, 9.8704
acabamento           | 10, 3.8721       | 0
acabamos             | 13, 5.0337       | 1, 1.6451
acabando             | 26, 10.0673      | 13, 21.3858
acabar               | 208, 80.5387      | 52, 85.5432
acabaram             | 41, 15.8754      | 31, 50.9969
acabarei             | 0               | 1, 1.6451
acabarem             | 10, 3.8721       | 1, 1.6451
acabaremos           | 3, 1.1616       | 0
acabares             | 1, 0.3872       | 0
acabaria             | 6, 2.3232       | 15, 24.6759
acabariam            | 1, 0.3872       | 3, 4.9352
acabarmos            | 3, 1.1616       | 2, 3.2901
acabará              | 18, 6.9697       | 2, 3.2901
acabarão             | 2, 0.7744       | 1, 1.6451
acabasse             | 0               | 1, 1.6451
acabaste             | 2, 0.7744       | 0
acabava              | 10, 3.8721       | 2, 3.2901
acabavam             | 3, 1.1616       | 1, 1.6451
acabe                | 9, 3.4848       | 5, 8.2253
acabei               | 19, 7.3569       | 0
acabem               | 6, 2.3232       | 0
acabo                | 14, 5.4209       | 3, 4.9352
acabou               | 200, 77.4411      | 125, 205.6327
acabou-se            | 1, 0.3872       | 0
acabámos             | 5, 1.9360       | 0
academia             | 94, 36.3973      | 2, 3.2901
academias            | 13, 5.0337       | 0
academicamente       | 4, 1.5488       | 0
academistas          | 6, 2.3232       | 0
académica            | 188, 72.7946      | 6, 9.8704
académicas           | 20, 7.7441       | 3, 4.9352
académico            | 93, 36.0101      | 6, 9.8704
académicos           | 60, 23.2323      | 3, 4.9352
acalenta             | 1, 0.3872       | 0
acalentadora         | 1, 0.3872       | 0
acalentar            | 1, 0.3872       | 0
acalentava           | 0               | 1, 1.6451
acalento             | 1, 0.3872       | 0
acalma               | 1, 0.3872       | 0
acalmado             | 1, 0.3872       | 0
acalmados            | 0               | 1, 1.6451
acalmando            | 4, 1.5488       | 0
acalmar              | 17, 6.5825       | 6, 9.8704
acalmarem            | 2, 0.7744       | 0
acalmassem           | 2, 0.7744       | 0
acalmia              | 2, 0.7744       | 0
acalmá-los           | 1, 0.3872       | 0
acaloradas           | 1, 0.3872       | 0
acalorado            | 1, 0.3872       | 0
acalorar             | 0               | 1, 1.6451
acampado             | 1, 0.3872       | 0
acampados            | 2, 0.7744       | 0
acampamento          | 56, 21.6835      | 4, 6.5802
acampamentos         | 5, 1.9360       | 3, 4.9352
acamparem            | 1, 0.3872       | 0
acanhados            | 1, 0.3872       | 0
acantonada           | 5, 1.9360       | 0
acantonadas          | 3, 1.1616       | 0
acantonado           | 0               | 1, 1.6451
acantonados          | 3, 1.1616       | 1, 1.6451
acaricia             | 0               | 1, 1.6451
acariciar            | 0               | 3, 4.9352
acarinhada           | 0               | 1, 1.6451
acarinhar            | 3, 1.1616       | 0
acarreta             | 12, 4.6465       | 4, 6.5802
acarretado           | 1, 0.3872       | 0
acarretamento        | 2, 0.7744       | 0
acarretar            | 8, 3.0976       | 0
acarretavam          | 1, 0.3872       | 0
acasalamento         | 1, 0.3872       | 0
acaso                | 66, 25.5556      | 15, 24.6759
acastanhada          | 2, 0.7744       | 0
acata                | 1, 0.3872       | 0
acatada              | 4, 1.5488       | 0
acatado              | 1, 0.3872       | 0
acatam               | 2, 0.7744       | 0
acatar               | 18, 6.9697       | 3, 4.9352
acataram             | 1, 0.3872       | 0
acatarem             | 2, 0.7744       | 0
acatavam             | 1, 0.3872       | 0
acatáveis            | 2, 0.7744       | 0
acautelada           | 2, 0.7744       | 1, 1.6451
acauteladas          | 6, 2.3232       | 1, 1.6451
acautelado           | 2, 0.7744       | 1, 1.6451
acautelados          | 3, 1.1616       | 2, 3.2901
acautelam            | 2, 0.7744       | 0
acautelando          | 0               | 1, 1.6451
acautelar            | 26, 10.0673      | 8, 13.1605
acautelaram          | 0               | 1, 1.6451
acautele             | 0               | 1, 1.6451
acedam               | 2, 0.7744       | 0
acede                | 1, 0.3872       | 2, 3.2901
acedem               | 0               | 2, 3.2901
acedemos             | 1, 0.3872       | 0
acedendo             | 0               | 1, 1.6451
aceder               | 22, 8.5185       | 22, 36.1914
acederam             | 2, 0.7744       | 2, 3.2901
acedermos            | 2, 0.7744       | 0
acedeu               | 2, 0.7744       | 3, 4.9352
acediam              | 0               | 3, 4.9352
acedido              | 2, 0.7744       | 1, 1.6451
acedo                | 0               | 35, 57.5772
acefalismo           | 1, 0.3872       | 0
